mfcc,contrast,tonnetz,chroma,class
"[-4.8823578e+02  1.0344409e+02  9.9105930e+00  3.3631950e+01
  6.4910569e+00  6.3914189e+00 -1.6767872e+01  1.3300318e+01
 -3.6611240e+00 -8.1011305e+00 -1.2565492e+01 -7.3410046e-01
  4.3625741e+00 -1.0799245e+01  7.5777330e+00  6.0926495e+00
 -5.3279686e+00  1.7547581e+00  4.6608973e+00 -6.0807590e+00
 -5.7062521e+00  1.8914398e+00  2.1610539e-01 -5.6093421e+00
  3.4506485e+00 -4.5505996e+00 -2.2923800e-01  5.4206047e+00
 -4.2443914e+00  3.9645324e+00  2.5197282e+00 -3.5585313e+00
  2.9296759e-01 -1.2890747e+00 -2.7038188e+00  2.9241613e-01
 -1.7287855e+00 -1.5076420e+00 -3.5801339e+00 -3.3931613e-01]","[23.98104457 14.88355857 19.13941307 17.76341549 20.69731402 20.3201725
 39.7511808 ]",[-0.01461258  0.00655783 -0.03509364  0.01916324  0.02882414 -0.00466303],"[0.5946693  0.6137347  0.62787664 0.614527   0.5042486  0.4151953
 0.43360034 0.44911465 0.53862524 0.614247   0.6349716  0.6209179 ]",open
"[-5.2017700e+02  1.0450298e+02  1.0283682e+01  3.0074627e+01
  8.5058517e+00  6.0009637e+00 -1.0035469e+01  1.2255800e+01
  8.6219251e-01 -6.2207460e+00 -9.1474915e+00  7.7183104e-01
  3.9292645e+00 -7.5989294e+00  3.9744537e+00  6.2106853e+00
 -2.9579046e-01 -9.1003311e-01  3.7375779e+00 -2.5356281e+00
 -5.2561626e+00  2.0227556e+00  4.6957034e-01 -4.1070142e+00
  3.1143694e+00 -3.2590909e+00 -9.5598173e-01  4.9515219e+00
 -3.0158393e+00  1.9628638e+00  3.4803960e+00 -2.2314286e+00
 -4.3316352e-01 -4.1359347e-01 -2.7155221e+00 -1.1557274e+00
 -1.9194481e+00 -2.4868834e+00 -3.7182240e+00 -4.2806783e-01]","[22.46913847 14.88313495 17.87185355 17.60088031 20.323129   20.01005748
 39.19587726]",[-0.02000735 -0.0175362  -0.03906715 -0.01305067  0.00083951 -0.01695653],"[0.6336483  0.6737882  0.6588121  0.6245098  0.5495568  0.49105504
 0.44927827 0.4989933  0.61403096 0.6267509  0.6365642  0.65418994]",open
"[-5.05645844e+02  9.70650787e+01  1.10826464e+01  3.01850319e+01
  7.13891125e+00  4.50436354e+00 -1.28090219e+01  1.17276211e+01
 -1.11440875e-01 -4.90494204e+00 -6.75637579e+00  7.91286081e-02
  3.79329586e+00 -1.00932751e+01  3.37862062e+00  5.69627142e+00
 -3.08286309e+00  1.09291458e+00  5.03446102e+00 -3.26109743e+00
 -4.84318066e+00  1.66748798e+00 -4.83702384e-02 -5.01457834e+00
  1.03962040e+00 -3.54509783e+00 -1.68539941e-01  4.25914097e+00
 -3.04396749e+00  2.79195619e+00  2.20251107e+00 -3.25956702e+00
  9.43607390e-01 -1.22622967e+00 -3.11809111e+00  2.35683829e-01
 -3.05451941e+00 -2.70265579e+00 -2.87260222e+00 -2.45627260e+00]","[22.44801114 14.50488078 18.51866787 17.16149053 19.81685027 19.27861099
 38.87752787]",[-0.02371673  0.00481713 -0.01101998 -0.00796381 -0.01033394 -0.00661935],"[0.5846696  0.6051889  0.6057149  0.5705867  0.464287   0.4517521
 0.50352234 0.5339707  0.599329   0.5957749  0.55800164 0.55815345]",open
"[-5.11317169e+02  1.15184814e+02  9.30460358e+00  3.03464489e+01
  1.00208464e+01  1.00708799e+01 -8.99075890e+00  1.41386967e+01
  2.84475398e+00 -4.04930735e+00 -1.02869873e+01 -2.54699922e+00
  5.76801872e+00 -7.09499788e+00  4.52743006e+00  5.88774061e+00
 -9.74155486e-01  1.46818829e+00  3.57776046e+00 -4.34384441e+00
 -5.42308283e+00  2.77293992e+00  1.21775484e+00 -4.18225050e+00
  1.18181705e+00 -3.84672213e+00  1.32026219e+00  3.92154503e+00
 -4.10151386e+00  1.54528117e+00  1.36785889e+00 -9.40850556e-01
 -8.08097064e-01 -8.36999536e-01 -1.46028650e+00 -1.63359618e+00
 -1.92978704e+00 -1.71739626e+00 -2.49764943e+00  2.82314748e-01]","[20.68083881 14.62534014 17.45622624 17.47540291 21.20809    20.16597257
 39.31120585]","[-1.64519956e-02  3.52932162e-02  7.69329301e-02  1.03946391e-01
  9.41655261e-05 -1.57521303e-03]","[0.63430023 0.62471426 0.6044777  0.5922242  0.5274836  0.4406907
 0.4293781  0.47947618 0.5896408  0.66050196 0.63385373 0.6312893 ]",open
"[-5.1302972e+02  1.0775444e+02  1.2802888e+01  2.7302746e+01
  6.0430379e+00  1.0363773e+01 -1.3769000e+01  1.3452915e+01
 -3.6340172e+00 -6.1742764e+00 -1.0921611e+01 -2.1409247e+00
  6.0730424e+00 -1.0341485e+01  4.3496914e+00  7.7859378e+00
 -1.1636424e+00 -6.6866249e-01  2.0831397e+00 -6.6355281e+00
 -6.1273084e+00  1.6645077e+00  1.1329240e-01 -3.5035934e+00
  3.1892297e+00 -2.9551268e+00  4.8746186e-01  5.7825389e+00
 -2.6484282e+00  1.3050289e+00  1.8326310e+00 -3.3290939e+00
 -1.8497214e+00 -6.2205046e-01 -1.6912838e+00  1.7608802e-01
 -1.4243778e+00 -1.8705219e+00 -2.8016763e+00  5.4527891e-01]","[21.72287486 14.34896595 18.32939197 17.77564044 19.735656   20.28663446
 40.6148299 ]","[-5.84513546e-03  5.01453023e-05 -4.05761304e-02  3.10401094e-02
  5.11320707e-03  4.76828434e-03]","[0.58916926 0.61924756 0.6116577  0.58430827 0.4934953  0.4548496
 0.45780084 0.4932167  0.5932894  0.62250394 0.6316554  0.62831396]",open
"[-4.84240936e+02  1.15392685e+02  1.36257324e+01  2.68104877e+01
 -1.25963330e+00  4.14308399e-01 -1.51281910e+01  9.40279961e+00
  4.02779102e+00 -1.94052362e+00 -6.66260147e+00 -1.08164072e+00
  1.73742712e+00 -1.06387739e+01  5.70298290e+00  6.00416899e+00
 -2.41317391e+00  2.65642405e+00  2.00312614e+00 -5.68718767e+00
 -6.28812599e+00  1.39447629e+00  1.06890559e+00 -3.45083523e+00
  4.20656109e+00 -3.50860429e+00 -1.35590911e+00  3.95354509e+00
 -4.17921591e+00  2.02185893e+00  2.85736966e+00 -1.94355690e+00
 -6.85396671e-01 -1.31815088e+00 -2.68893266e+00 -2.42839217e+00
 -3.01733708e+00 -1.63992512e+00 -3.30757904e+00 -2.79921502e-01]","[23.06417998 14.49922575 19.06273031 19.09120979 19.6503301  20.04229036
 39.54885237]",[-0.01993785  0.01408491 -0.01930838 -0.03527348  0.00319361 -0.02122656],"[0.5004794  0.55048454 0.5370066  0.5044572  0.48689148 0.44556263
 0.4122529  0.47110245 0.55615807 0.5913011  0.5590985  0.5124048 ]",open
"[-5.02129669e+02  1.08603836e+02  1.05726366e+01  2.81982269e+01
  3.36670399e+00  5.68211937e+00 -1.06760597e+01  1.07180395e+01
 -2.07638502e+00 -2.86192536e+00 -1.26798248e+01 -3.10379148e+00
  5.32114840e+00 -1.08566780e+01  4.40874672e+00  7.13330984e+00
 -5.81332111e+00 -1.58823121e+00  3.55013156e+00 -5.70983982e+00
 -5.17552710e+00  4.16559637e-01 -1.23872101e+00 -4.23949623e+00
  1.19420886e+00 -5.17997694e+00 -4.23029922e-02  4.41110086e+00
 -3.47872663e+00  2.04575968e+00  3.01604342e+00 -3.87866473e+00
 -1.10979915e+00  2.67190844e-01 -1.93227911e+00 -5.05138755e-01
 -3.34066558e+00 -9.75011945e-01 -3.78987837e+00 -1.19410241e+00]","[22.65551685 14.91535666 17.86604427 17.8141337  19.8819474  20.26472372
 40.16025547]",[-0.04584703 -0.01618915 -0.0379714  -0.05364075  0.02867502 -0.00148953],"[0.59066683 0.6441624  0.6069679  0.57140595 0.47980294 0.47442245
 0.45491236 0.48050302 0.5815206  0.63134015 0.6529273  0.62435186]",open
"[-4.9508051e+02  9.5004059e+01  8.1645870e+00  3.1896082e+01
  5.5621181e+00  4.7435956e+00 -1.7467896e+01  8.8578901e+00
 -2.8324573e+00 -6.1876707e+00 -1.3328239e+01 -2.2787554e+00
  3.6723561e+00 -1.2850916e+01  3.5415492e+00  7.1643376e+00
 -7.5342216e+00  1.0508348e-01  3.0022540e+00 -7.1410270e+00
 -4.2456889e+00  4.4143790e-01  1.4846621e+00 -5.8617163e+00
  1.4696463e+00 -5.1643977e+00 -1.3766621e+00  4.5130324e+00
 -5.9420185e+00  5.9883779e-01  2.0472021e+00 -4.1967278e+00
 -1.4065115e+00 -2.4589880e-01 -3.4425960e+00 -1.2855459e+00
 -3.0276039e+00 -2.5401981e+00 -4.1985121e+00  1.6211611e-01]","[21.96788072 15.2169011  18.05558501 18.01470891 20.7520256  21.14545213
 39.03982443]",[ 0.01533322 -0.03690253  0.01782431  0.06143755 -0.00171295 -0.01843487],"[0.5725216  0.60981387 0.62520295 0.60621804 0.46058917 0.44002137
 0.4428877  0.48827046 0.5557545  0.57445437 0.557629   0.5637236 ]",open
"[-5.10977417e+02  9.35741348e+01  1.08639421e+01  3.09079437e+01
  4.41679525e+00  6.76315880e+00 -1.18950052e+01  1.27055826e+01
  6.32967710e-01 -6.39173889e+00 -1.07744465e+01 -2.82232666e+00
  4.92599487e+00 -9.28236675e+00  3.27860546e+00  6.66881800e+00
 -2.66601372e+00  1.01986313e+00  2.15921950e+00 -4.80293417e+00
 -6.11306143e+00  1.48391807e+00  3.46953368e+00 -4.77245140e+00
  2.99214530e+00 -2.03252506e+00 -1.21098250e-01  4.65479565e+00
 -3.77567959e+00  1.06700349e+00  2.28929090e+00 -1.96131003e+00
 -3.87001753e-01 -7.57846516e-03 -1.88888395e+00 -6.91369593e-01
 -2.67400575e+00 -1.51603866e+00 -3.22133613e+00  1.70076787e-01]","[22.9549496  15.24923582 18.0231156  18.55867444 19.7757138  20.42999481
 39.33659912]",[ 0.05007365  0.00491489 -0.07026046  0.01919894 -0.01610488 -0.03761583],"[0.57320863 0.63444847 0.6723107  0.63236976 0.5455423  0.4703968
 0.4415177  0.46146736 0.5289773  0.61468494 0.6092438  0.57610357]",open
"[-4.9891190e+02  1.0331712e+02  1.0630832e+01  3.2350849e+01
  4.5304270e+00  7.7096872e+00 -1.5395770e+01  1.3182467e+01
 -1.8725281e+00 -5.7701712e+00 -1.4042644e+01 -2.1315441e+00
  6.1132307e+00 -1.2338211e+01  6.4258800e+00  9.5594311e+00
 -4.5861840e+00  1.2286708e+00  1.7922156e+00 -6.8300929e+00
 -4.6909523e+00 -3.9545339e-01  1.5666084e+00 -4.4549756e+00
  2.9059856e+00 -3.7428434e+00  4.0951106e-01  5.1371517e+00
 -4.3203592e+00  6.9117212e-01  8.4549665e-01 -1.1694880e+00
  5.5407971e-02 -1.5472419e+00 -2.6723945e+00 -7.8342390e-01
 -3.7005553e+00 -8.0037367e-01 -3.3573568e+00 -7.8875560e-01]","[22.17497397 14.94600295 18.51092275 18.32198218 20.95427215 20.16661505
 40.09736779]",[ 0.02077449 -0.00451063  0.00118954  0.0299398   0.00736042 -0.01873824],"[0.6243229  0.64069796 0.6387264  0.5734859  0.5118113  0.43394512
 0.4462437  0.45580715 0.5435205  0.63858056 0.5885807  0.58434504]",open
