,mfcc,contrast,tonnetz,chroma,class
0,"[-5.1620502e+02  1.5303610e+02 -8.0503044e+00  3.3207005e+01
  1.4849519e+00 -1.3285730e+00 -6.5366144e+00 -1.3573455e+00
 -5.8039298e+00  1.6940596e+01  4.3748436e+00 -7.5175896e+00
  1.7435147e+00 -1.3554303e+01  2.0974760e+00  1.9441687e+00
 -7.4096174e+00 -7.0441067e-01  4.9914622e+00 -3.7890019e+00
 -4.6332111e+00  1.5881573e-01 -6.3752398e+00  7.9997170e-01
  5.0464129e+00  1.3741637e+00  2.2905531e+00  6.4726406e-01
 -2.0428135e+00 -1.5651772e+00 -1.7727714e+00 -2.3661737e+00
  1.7306224e+00 -2.5229480e+00 -2.3994830e+00  4.1465845e+00
 -2.7292233e+00 -2.3017528e+00 -1.8440331e+00 -2.6190863e+00]","[21.50289692 15.5805639  14.88104688 19.19048793 18.53556102 22.41178266
 37.54707427]",[ 0.05704616  0.08094123  0.12592828 -0.02927766  0.02245538 -0.03506524],"[0.48283857 0.58331424 0.63629895 0.49358034 0.4770761  0.5636364
 0.6987656  0.76617247 0.5971652  0.50249827 0.46224636 0.44230124]",ibrahim
1,"[-5.1620502e+02  1.5303610e+02 -8.0503044e+00  3.3207005e+01
  1.4849519e+00 -1.3285730e+00 -6.5366144e+00 -1.3573455e+00
 -5.8039298e+00  1.6940596e+01  4.3748436e+00 -7.5175896e+00
  1.7435147e+00 -1.3554303e+01  2.0974760e+00  1.9441687e+00
 -7.4096174e+00 -7.0441067e-01  4.9914622e+00 -3.7890019e+00
 -4.6332111e+00  1.5881573e-01 -6.3752398e+00  7.9997170e-01
  5.0464129e+00  1.3741637e+00  2.2905531e+00  6.4726406e-01
 -2.0428135e+00 -1.5651772e+00 -1.7727714e+00 -2.3661737e+00
  1.7306224e+00 -2.5229480e+00 -2.3994830e+00  4.1465845e+00
 -2.7292233e+00 -2.3017528e+00 -1.8440331e+00 -2.6190863e+00]","[21.50289692 15.5805639  14.88104688 19.19048793 18.53556102 22.41178266
 37.54707427]",[ 0.05704616  0.08094123  0.12592828 -0.02927766  0.02245538 -0.03506524],"[0.48283857 0.58331424 0.63629895 0.49358034 0.4770761  0.5636364
 0.6987656  0.76617247 0.5971652  0.50249827 0.46224636 0.44230124]",ibrahim
2,"[-5.1224835e+02  1.4327136e+02  2.0836124e+00  3.3155144e+01
  3.5860708e+00  9.3318968e+00  9.8984498e-01  6.3412189e+00
 -1.2862615e+01  1.2496682e+01  1.3794680e+00 -6.9768944e+00
 -8.7049562e-01 -6.6608620e+00  5.8736825e+00  2.4049840e+00
 -4.7840233e+00 -2.5676417e+00  5.6962276e+00 -1.5286995e+00
 -3.7059278e+00 -1.1294044e+00 -8.4236670e-01  7.7034599e-01
  3.9105213e+00 -2.3383193e+00 -6.9298792e-01  4.6232539e-01
 -8.5312533e-01  2.4534032e+00  5.7721037e-01 -1.3349826e+00
 -2.2952764e+00 -7.8437430e-01 -2.3443928e+00  1.8544934e+00
  2.0119028e-01 -2.4583416e+00 -1.7537582e-01 -4.6366882e-01]","[20.40490437 15.19866671 15.71990245 17.93264893 17.55812444 21.45964237
 38.84673898]",[ 0.11170614  0.02297115 -0.13776907 -0.02670568 -0.0401044   0.00742551],"[0.4800203  0.49321786 0.5004046  0.5426745  0.5663341  0.5442838
 0.5889128  0.60232085 0.65599304 0.70949024 0.5948703  0.46555394]",ibrahim
3,"[-5.1224835e+02  1.4327136e+02  2.0836124e+00  3.3155144e+01
  3.5860708e+00  9.3318968e+00  9.8984498e-01  6.3412189e+00
 -1.2862615e+01  1.2496682e+01  1.3794680e+00 -6.9768944e+00
 -8.7049562e-01 -6.6608620e+00  5.8736825e+00  2.4049840e+00
 -4.7840233e+00 -2.5676417e+00  5.6962276e+00 -1.5286995e+00
 -3.7059278e+00 -1.1294044e+00 -8.4236670e-01  7.7034599e-01
  3.9105213e+00 -2.3383193e+00 -6.9298792e-01  4.6232539e-01
 -8.5312533e-01  2.4534032e+00  5.7721037e-01 -1.3349826e+00
 -2.2952764e+00 -7.8437430e-01 -2.3443928e+00  1.8544934e+00
  2.0119028e-01 -2.4583416e+00 -1.7537582e-01 -4.6366882e-01]","[20.40490437 15.19866671 15.71990245 17.93264893 17.55812444 21.45964237
 38.84673898]",[ 0.11170614  0.02297115 -0.13776907 -0.02670568 -0.0401044   0.00742551],"[0.4800203  0.49321786 0.5004046  0.5426745  0.5663341  0.5442838
 0.5889128  0.60232085 0.65599304 0.70949024 0.5948703  0.46555394]",ibrahim
4,"[-4.8897162e+02  1.4869641e+02 -7.5737710e+00  2.9829508e+01
  8.5235929e+00  1.2290473e+01 -6.5575743e-01  2.8314660e+00
 -1.2555771e+01  1.3326705e+01  2.3621359e+00 -7.6532164e+00
  1.6130669e+00 -1.1171470e+01  3.5749490e+00  2.8760343e+00
 -4.8935518e+00 -3.0555325e+00  3.0032246e+00 -4.5744824e+00
 -4.7480717e+00  1.7236388e+00 -1.6623846e+00  9.4083703e-01
  3.8595726e+00 -2.3293834e+00 -2.8474295e+00 -3.1168830e+00
 -1.5612129e+00  1.4379399e+00 -1.5576439e-01  1.5869992e+00
  1.9480808e+00  7.4940336e-01 -3.1536679e+00 -2.0152234e-01
 -1.4636751e+00 -3.4404304e+00 -8.0457872e-01 -6.2314719e-01]","[20.70678601 14.74391296 15.74699827 18.72073992 17.5557338  21.07264004
 38.96369292]",[ 0.03361527  0.00673969 -0.02458915  0.01284095 -0.0381192   0.02099847],"[0.4298639  0.47219032 0.5561596  0.63130385 0.5389847  0.54810184
 0.62312657 0.6813384  0.727316   0.62529933 0.45967194 0.42155656]",ibrahim
5,"[-4.4641190e+02  1.4709093e+02 -4.3145585e+00  2.8490623e+01
  1.3814832e+00  5.6726961e+00 -7.9091740e+00 -9.3060178e-01
 -1.1421517e+01  7.3061061e+00 -1.8445948e+00 -5.6760154e+00
 -3.1956005e-01 -9.8075962e+00  4.5026431e+00  3.4549725e+00
 -6.7161574e+00 -3.8700511e+00  4.4216938e+00 -4.2722883e+00
 -5.0835271e+00 -1.4729666e+00 -2.1198585e+00 -2.7640657e+00
  2.4577155e+00  4.0922630e-01 -2.6421349e+00  1.1837983e+00
  7.3532321e-02 -1.0606968e+00  1.1163021e-01  2.3301260e+00
 -1.8237647e+00 -2.2340095e+00  7.7183497e-01 -6.2101001e-01
 -1.2259786e+00 -1.9458389e+00 -3.0480227e+00 -2.4851036e-01]","[22.07195009 15.04982321 16.12949898 17.41216805 18.83205418 21.45255341
 38.5788762 ]",[ 0.02523995 -0.00517687 -0.06568481 -0.01956447 -0.00205297  0.00678435],"[0.45996562 0.45648652 0.4546965  0.4365688  0.46759042 0.4944629
 0.54894227 0.55000144 0.5815209  0.70599616 0.6512499  0.5344905 ]",ibrahim
6,"[-5.0940750e+02  1.4868913e+02 -6.6087375e+00  2.4676195e+01
  2.2119586e+00  1.1449208e+01  2.6563611e+00 -3.0852747e+00
 -6.7611184e+00  1.0599480e+01 -7.2134776e+00 -1.0281285e+01
  1.1061165e-01 -1.2839296e+01  1.5492866e+00  1.8798438e+00
 -6.9639630e+00 -7.1397406e-01  4.7751088e+00 -3.0032387e+00
  1.4657029e+00  2.7577531e-01 -5.5049591e+00  8.8582289e-01
  2.3145521e+00 -3.9854004e+00 -6.0843172e+00  2.6221516e+00
  9.4277662e-01 -8.2145852e-01  4.5791692e-01 -3.3347590e+00
 -9.2819494e-01 -1.7898898e+00 -2.5411756e+00 -6.7515212e-01
 -3.1222825e+00 -2.3670752e+00 -1.5222328e+00 -8.2133973e-01]","[21.49197439 15.2397373  15.92458878 17.43927979 18.63317335 21.99683099
 37.2694499 ]",[-0.00160735 -0.04142326 -0.0507807   0.08959458 -0.01019801  0.01300787],"[0.5182532  0.51008844 0.51987463 0.563754   0.5818878  0.5355219
 0.6040892  0.61667866 0.6354644  0.64436424 0.5492907  0.49111274]",ibrahim
7,"[-4.6285852e+02  1.5238855e+02 -6.2566323e+00  2.6201982e+01
  1.0410783e+01  9.4824638e+00 -4.8810654e+00 -3.2714417e+00
 -1.3658620e+01  1.3929550e+01 -2.8017585e+00 -8.6494598e+00
 -4.4255057e-01 -1.4332058e+01  2.7710876e+00 -4.4066745e-01
 -7.5789871e+00 -1.5249760e+00  7.9242487e+00 -5.3687615e+00
 -5.3959937e+00  1.1570189e+00 -3.0135901e+00  3.1697397e+00
  2.0786593e+00 -2.7508352e+00 -2.6862450e+00 -1.5382061e+00
 -2.4926407e+00  1.4989659e+00  3.7075162e+00  6.7221367e-01
 -7.5483567e-01 -3.3121326e+00 -4.3886113e+00  2.5871703e-02
 -1.0188216e+00 -3.6545036e+00  3.8249081e-01 -1.3647559e+00]","[22.60563741 15.21879486 17.31046419 18.19862894 19.87953244 22.42627126
 38.66346851]",[ 0.06655013  0.02379172 -0.07581531 -0.02789779 -0.03223556  0.02028737],"[0.35264286 0.4603042  0.5283083  0.49798733 0.48182726 0.51904666
 0.5054321  0.52422607 0.5931793  0.65994734 0.55390316 0.35663968]",ibrahim
8,"[-5.2373773e+02  1.3610353e+02 -1.2626652e+00  2.8813412e+01
  5.4794130e+00  1.0121495e+01  3.3003068e+00  1.8679147e+00
 -6.8594351e+00  9.1334438e+00 -2.1528354e+00 -1.2253945e+01
 -1.4385415e+00 -9.1213779e+00  2.8619778e+00  3.1086626e+00
 -5.2531834e+00 -3.4890501e+00  4.5816031e+00 -2.9231377e+00
 -3.5810194e+00  1.4150059e+00 -5.9405227e+00 -5.1729190e-01
  3.3910241e+00 -3.7059245e+00 -4.2568913e+00  2.1275234e+00
 -1.5693082e+00 -2.8137872e+00  5.6022292e-01 -2.4616480e+00
  3.4387866e-01  8.0133533e-01 -2.3579807e+00 -2.8655457e-01
 -1.9041499e+00 -2.7447081e+00 -1.7340710e+00 -1.3878351e+00]","[22.65567918 14.74663466 15.96536252 17.98418107 18.22735844 21.32692042
 37.88951039]",[-0.02301428 -0.02472796  0.0183976   0.1009872  -0.0152593   0.0094793 ],"[0.44867787 0.4648576  0.48628858 0.5422199  0.56227887 0.54963666
 0.5898897  0.64200336 0.69852513 0.6911075  0.5579436  0.46548072]",ibrahim
9,"[-5.19928040e+02  1.47608459e+02  2.33141708e+00  2.71587505e+01
  1.43657494e+00  1.17758331e+01 -6.61214304e+00  2.22957134e+00
 -1.03271055e+01  1.39036808e+01  2.71934462e+00 -1.02305527e+01
 -1.22106946e+00 -1.09948845e+01  4.94454002e+00  2.71625137e+00
 -5.46853065e+00  2.14570880e+00  5.67108965e+00 -2.59258747e+00
 -1.30287683e+00 -3.83356595e+00 -5.56933117e+00 -9.13126886e-01
  3.29877162e+00 -1.31068110e+00 -2.24055505e+00  4.43157005e+00
  8.58749509e-01  3.40790689e-01  1.20959032e+00  5.16665220e-01
  1.95983565e+00 -4.87165451e-01 -2.49635863e+00  8.10723960e-01
  4.06076312e-02  1.38325095e-01 -1.13849163e-01 -3.10499787e+00]","[21.41718896 15.00617398 15.76549849 17.9430983  19.31448704 20.3847665
 38.84748322]",[-0.01081833  0.02598714  0.00945773 -0.00936235 -0.03724259 -0.01187418],"[0.4604839  0.49233976 0.4867358  0.4599305  0.45587903 0.574413
 0.72677344 0.7437008  0.72867304 0.6298691  0.5110716  0.44598776]",ibrahim
